"dr_no","date_rptd","date_occ","time_occ","area","area_name","rpt_dist_no","part_1_2","crm_cd","crm_cd_desc","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","status","status_desc","crm_cd_1","location","lat","lon"
231704799,2023-01-22,2023-01-22,2030,17,"Devonshire",1701,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",46,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AA","Adult Arrest",626,"11400    PORTER RANCH                 DR",34.2756,-118.5701
240216709,2024-10-26,2024-10-08,503,2,"Rampart",236,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",34,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",341,"300 N  WESTLAKE                     AV",34.0687,-118.2672
242105357,2024-02-03,2024-02-03,1920,21,"Topanga",2156,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",30,"M","X",203,"OTHER BUSINESS","IC","Invest Cont",440,"6600    TOPANGA CANYON               BL",34.1904,-118.6059
222013248,2022-08-05,2022-08-05,410,20,"Olympic",2069,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",36,"M","H",122,"VEHICLE, PASSENGER/TRUCK","IC","Invest Cont",230,"OLYMPIC",34.0499,-118.2879
241308095,2024-04-02,2020-11-26,1101,13,"Newton",1321,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",13,"M","W",702,"OFFICE BUILDING/OFFICE","IC","Invest Cont",440,"1900 S  BROADWAY",34.0314,-118.2657
200315141,2020-08-02,2020-08-02,1715,3,"Southwest",378,2,624,"BATTERY - SIMPLE ASSAULT",33,"F","H",102,"SIDEWALK","IC","Invest Cont",624,"EXPOSITION                   BL",34.0182,-118.2915
220900724,2022-05-06,2022-05-06,1515,9,"Van Nuys",933,1,210,"ROBBERY",28,"X","X",202,"LIQUOR STORE","AA","Adult Arrest",210,"14500    VICTORY                      BL",34.1867,-118.4487
230806631,2023-02-21,2022-11-23,2200,8,"West LA",829,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",72,"M","W",101,"STREET","IC","Invest Cont",331,"10300    EASTBORNE                    AV",34.0618,-118.4215
211104868,2021-01-26,2021-01-16,1200,11,"Northeast",1147,2,662,"BUNCO, GRAND THEFT",29,"M","A",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",662,"3000    ASBURY                       ST",34.0983,-118.2304
221900835,2022-10-03,2022-09-30,2200,19,"Mission",1908,2,940,"EXTORTION",14,"M","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",940,"13400    HERRON                       ST",34.3165,-118.4249
221004020,2022-01-01,2022-01-01,120,10,"West Valley",1018,1,320,"BURGLARY, ATTEMPTED",18,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AA","Adult Arrest",320,"15800    SATICOY                      ST",34.2085,-118.4771
201300729,2020-05-15,2020-05-14,1915,13,"Newton",1343,2,753,"DISCHARGE FIREARMS/SHOTS FIRED",28,"M","H",101,"STREET","IC","Invest Cont",753,"4000    MCKINLEY                     AV",34.011,-118.2608
201408558,2020-03-19,2020-03-19,1318,14,"Pacific",1406,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",59,"M","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",230,"3800    MOTOR                        AV",34.024,-118.409
220509818,2022-06-04,2022-04-14,1715,5,"Harbor",529,1,510,"VEHICLE - STOLEN",28,"F","X",101,"STREET","AA","Adult Arrest",510,"500    BROAD                        AV",33.7756,-118.2608
